p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,3.508247144239796e-05,86.17946754611852,1.6892223211557864
2,2,1.55,uniform,3.590130377007068e-05,85.28934682873839,1.6892223211557864
2,2,1.55,uniform,3.673924781802074e-05,84.40841988934346,1.6892223211557864
2,2,1.55,uniform,3.759674965785468e-05,83.53659176828171,1.6892223211557864
2,2,1.55,uniform,3.8474265772584975e-05,82.67376848670966,1.6892223211557864
2,2,1.55,uniform,3.937226329963475e-05,81.81985703646156,1.6892223211557864
2,2,1.55,uniform,4.029122027951344e-05,80.97476537002409,1.6892223211557864
2,2,1.55,uniform,4.123162591029748e-05,80.13840239061385,1.6892223211557864
2,2,1.55,uniform,4.2193980808050236e-05,79.31067794235749,1.6892223211557864
2,2,1.55,uniform,4.317879727332022e-05,78.49150280057347,1.6892223211557864
2,2,1.55,uniform,4.4186599563859417e-05,77.68078866215403,1.6892223211557864
2,2,1.55,uniform,4.521792417370702e-05,76.87844813604652,1.6892223211557864
2,2,1.55,uniform,4.6273320118786936e-05,76.0843947338331,1.6892223211557864
2,2,1.55,uniform,4.735334922917121e-05,75.29854286040772,1.6892223211557864
2,2,1.55,uniform,4.8458586448165e-05,74.52080780474932,1.6892223211557864
2,2,1.55,uniform,4.9589620138372114e-05,73.75110573079054,1.6892223211557864
2,2,1.55,uniform,5.074705239490466e-05,72.98935366838026,1.6892223211557864
2,2,1.55,uniform,5.193149936590212e-05,72.23546950434029,1.6892223211557864
2,2,1.55,uniform,5.3143591580532414e-05,71.48937197361359,1.6892223211557864
2,2,1.55,uniform,5.4383974284647904e-05,70.75098065050457,1.6892223211557864
2,2,1.55,uniform,5.56533077842764e-05,70.02021594000924,1.6892223211557864
2,2,1.55,uniform,5.695226779712819e-05,69.29699906923564,1.6892223211557864
2,2,1.55,uniform,5.8281545812308395e-05,68.58125207891227,1.6892223211557864
2,2,1.55,uniform,5.96418494584246e-05,67.87289781498454,1.6892223211557864
2,2,1.55,uniform,6.103390288028621e-05,67.17185992029788,1.6892223211557864
2,2,1.55,uniform,6.245844712439617e-05,66.47806282636688,1.6892223211557864
2,2,1.55,uniform,6.391624053344005e-05,65.79143174522929,1.6892223211557864
2,2,1.55,uniform,6.540805914998258e-05,65.11189266138433,1.6892223211557864
2,2,1.55,uniform,6.693469712958668e-05,64.43937232381413,1.6892223211557864
2,2,1.55,uniform,6.849696716357455e-05,63.77379823808763,1.6892223211557864
2,2,1.55,uniform,7.009570091165617e-05,63.115098658546096,1.6892223211557864
2,2,1.55,uniform,7.173174944465612e-05,62.463202580568996,1.6892223211557864
2,2,1.55,uniform,7.340598369757212e-05,61.81803973292053,1.6892223211557864
2,2,1.55,uniform,7.511929493320969e-05,61.17954057017438,1.6892223211557864
2,2,1.55,uniform,7.68725952166372e-05,60.547636265217186,1.6892223211557864
