# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
382,4.713897e-02,5.205627e-02,2.232924e-03
383,4.701771e-02,5.202225e-02,2.223331e-03
384,4.692624e-02,5.213135e-02,2.218362e-03
385,4.650904e-02,5.208812e-02,2.215934e-03
386,4.689195e-02,5.196233e-02,2.228675e-03
387,4.589609e-02,5.196121e-02,2.226654e-03
388,4.581622e-02,5.194798e-02,2.220080e-03
389,4.630963e-02,5.194523e-02,2.224304e-03
390,4.686545e-02,5.190645e-02,2.215775e-03
391,4.704435e-02,5.192388e-02,2.222007e-03
392,4.604879e-02,5.188860e-02,2.222690e-03
393,4.644570e-02,5.184274e-02,2.215650e-03
394,4.682203e-02,5.183969e-02,2.217081e-03
395,4.646082e-02,5.181340e-02,2.215472e-03
396,4.629645e-02,5.181296e-02,2.210491e-03
397,4.574308e-02,5.183367e-02,2.213010e-03
398,4.643344e-02,5.177426e-02,2.216042e-03
399,4.608980e-02,5.176382e-02,2.209170e-03
400,4.627732e-02,5.173958e-02,2.211762e-03
401,4.585705e-02,5.170566e-02,2.206997e-03
402,4.574236e-02,5.172749e-02,2.213715e-03
403,4.610532e-02,5.166663e-02,2.208791e-03
404,4.607463e-02,5.172602e-02,2.202935e-03
405,4.642726e-02,5.164660e-02,2.205359e-03
406,4.577699e-02,5.163383e-02,2.209085e-03
407,4.589793e-02,5.164640e-02,2.202048e-03
408,4.653813e-02,5.162873e-02,2.202392e-03
409,4.564950e-02,5.156187e-02,2.202662e-03
410,4.562551e-02,5.156851e-02,2.205315e-03
411,4.594753e-02,5.156929e-02,2.202003e-03
412,4.573231e-02,5.154270e-02,2.206544e-03
413,4.626851e-02,5.152998e-02,2.198836e-03
414,4.575045e-02,5.150362e-02,2.203356e-03
415,4.602113e-02,5.150001e-02,2.197776e-03
416,4.614584e-02,5.151905e-02,2.200296e-03
417,4.573284e-02,5.147406e-02,2.209758e-03
418,4.568400e-02,5.150408e-02,2.193747e-03
419,4.652007e-02,5.146058e-02,2.202937e-03
420,4.637515e-02,5.145355e-02,2.197977e-03
421,4.637460e-02,5.144105e-02,2.201624e-03
422,4.623384e-02,5.143220e-02,2.205391e-03
423,4.553213e-02,5.141791e-02,2.200340e-03
424,4.619977e-02,5.140141e-02,2.197237e-03
425,4.601275e-02,5.141786e-02,2.197505e-03
426,4.575686e-02,5.138788e-02,2.208463e-03
427,4.598726e-02,5.137322e-02,2.200570e-03
428,4.580326e-02,5.138714e-02,2.207632e-03
429,4.563257e-02,5.135179e-02,2.204196e-03
430,4.617535e-02,5.134530e-02,2.197795e-03
431,4.575073e-02,5.133647e-02,2.197383e-03
432,4.585182e-02,5.131874e-02,2.197384e-03
433,4.535410e-02,5.133759e-02,2.194478e-03
434,4.621052e-02,5.131766e-02,2.192711e-03
435,4.677435e-02,5.131638e-02,2.204212e-03
436,4.600185e-02,5.129328e-02,2.202246e-03
437,4.573765e-02,5.135865e-02,2.200981e-03
438,4.593462e-02,5.129057e-02,2.206370e-03
439,4.592019e-02,5.126908e-02,2.206426e-03
